key,value,date
AAPL,144.85,06/12/17
AAPL,146.02,06/13/17
AAPL,144.59,06/14/17
AAPL,143.73,06/15/17
AAPL,141.71,06/16/17
AAPL,145.77,06/19/17
AAPL,144.44,06/20/17
AAPL,145.30,06/21/17
AAPL,145.06,06/22/17
AAPL,145.71,06/23/17
AAPL,145.25,06/26/17
AAPL,143.17,06/27/17
AAPL,145.26,06/28/17
AAPL,143.12,06/29/17
AAPL,143.46,06/30/17
AAPL,142.94,07/03/17
AAPL,143.53,07/05/17
AAPL,142.17,07/06/17
AAPL,143.62,07/07/17
AAPL,144.49,07/10/17
AAPL,144.96,07/11/17
AAPL,145.17,07/12/17
AAPL,147.19,07/13/17
AAPL,148.46,07/14/17
AAPL,148.97,07/17/17
AAPL,149.49,07/18/17
AAPL,150.43,07/19/17
AAPL,149.75,07/20/17
AAPL,149.68,07/21/17
AAPL,151.50,07/24/17
AAPL,152.14,07/25/17
AAPL,152.86,07/26/17
AAPL,149.97,07/27/17
AAPL,148.92,07/28/17
AAPL,148.15,07/31/17
AAPL,149.46,08/01/17
AAPL,156.53,08/02/17
AAPL,154.96,08/03/17
AAPL,155.78,08/04/17
AAPL,158.19,08/07/17
AAPL,159.45,08/08/17
AAPL,160.43,08/09/17
AAPL,155.32,08/10/17
AAPL,157.48,08/11/17
AAPL,159.85,08/14/17
AAPL,161.60,08/15/17
AAPL,160.95,08/16/17
AAPL,157.86,08/17/17
AAPL,157.50,08/18/17
AAPL,157.21,08/21/17
AAPL,159.78,08/22/17
AAPL,159.98,08/23/17
AAPL,159.27,08/24/17
AAPL,159.86,08/25/17
AAPL,161.47,08/28/17
AAPL,162.91,08/29/17
AAPL,163.35,08/30/17
AAPL,164.00,08/31/17
AAPL,164.05,09/01/17
AAPL,162.08,09/05/17
AAPL,161.91,09/06/17
AAPL,161.26,09/07/17
AAPL,158.63,09/08/17
AAPL,161.50,09/11/17
AAPL,160.86,09/12/17
AAPL,159.65,09/13/17
AMZN,761.09,09/14/16
AMZN,769.69,09/15/16
AMZN,778.52,09/16/16
AMZN,775.10,09/19/16
AMZN,780.22,09/20/16
AMZN,789.74,09/21/16
AMZN,804.70,09/22/16
AMZN,805.75,09/23/16
AMZN,799.16,09/26/16
AMZN,816.11,09/27/16
AMZN,828.72,09/28/16
AMZN,829.05,09/29/16
AMZN,837.31,09/30/16
AMZN,836.74,10/03/16
AMZN,834.03,10/04/16
